URLs,CMS
nregs.kerala.gov.in,WP
portinfo.kerala.gov.in,Drupal
www.prc.kerala.gov.in,Drupal
prd.kerala.gov.in,WP
www.prd.kerala.gov.in,WP
prdlive.kerala.gov.in,Drupal
www.pwd.kerala.gov.in,Joomla
resthouse.pwd.kerala.gov.in,Joomla
www.relief.kerala.gov.in,WP
reraonline.kerala.gov.in,Drupal
revenueadalath.kerala.gov.in,Drupal
rtiportal.kerala.gov.in,WP
oems.kerala.gov.in,WP
scert.kerala.gov.in,WP
sec.kerala.gov.in,WP
services.kerala.gov.in,WP
sha.kerala.gov.in,WP
rti.sic.kerala.gov.in,WP
siemat.kerala.gov.in,Drupal
sjd.kerala.gov.in,Joomla
slna.kerala.gov.in,WP
www.sslcexam.kerala.gov.in,WP
sslchiexam.kerala.gov.in,Joomla
www.swtd.kerala.gov.in,WP
bams.treasury.kerala.gov.in,Drupal
isoft.treasury.kerala.gov.in,Drupal
trida.kerala.gov.in,Drupal
www.unispark.kerala.gov.in,Joomla
www.vhscap.kerala.gov.in,Joomla
xequivalency.kerala.gov.in,WP
yip.kerala.gov.in,WP
zerolandless.kerala.gov.in,Drupal
www.keralaagriculture.gov.in,WP
keralaenergy.gov.in,WP
keralafilms.gov.in,Drupal
keralaprisons.gov.in,Drupal
www.keralatourism.gov.in,Drupal
knowindia.gov.in,WP
kolhapurpolice.gov.in,WP
www.kolkatacustoms.gov.in,WP
www.kolkataporttrust.gov.in,Drupal
kollamruralpolice.gov.in,WP
www.kondagaon.gov.in,WP
kondagaon.gov.in,WP
korba.gov.in,WP
www.korea.gov.in,WP
korea.gov.in,WP
kottayam.gov.in,WP
www.kundalforestacademy.gov.in,WP
www.kvic.gov.in,Joomla
www.kviconline.gov.in,WP
kvkcalicut.gov.in,WP
app.kvs.gov.in,WP
kvsonlineadmission.kvs.gov.in,WP
robangalore.kvs.gov.in,WP
robhubaneswar.kvs.gov.in,WP
rodehradun.kvs.gov.in,WP
rodelhi.kvs.gov.in,WP
rojammu.kvs.gov.in,WP
rosilchar.kvs.gov.in,Drupal
labdirodisha.gov.in,Drupal
www.bocboard.labdirodisha.gov.in,Drupal
labourbureau.gov.in,WP
lalitkala.gov.in,WP
larpm.gov.in,Drupal
centre.lbsnaa.gov.in,Drupal
logistics.gov.in,WP
lpsc.gov.in,Drupal
dashboard.lsgkerala.gov.in,Drupal
eloor.lsgkerala.gov.in,Drupal
impactkerala.lsgkerala.gov.in,Drupal
